# X, Y, Z, Direction Cosine Matrix (World to Camera)
37, -1.12995, -0.861237, -1.38614, -0.550072, -0.827508, 0.112477, 0.0235493, -0.150001, -0.988405, 0.834785, -0.541045, 0.101998
38, -9.66348, -0.221775, 0.912889, -0.166624, -0.984038, 0.0624945, 0.237469, -0.101563, -0.966071, 0.956998, -0.14613, 0.250601
39, -7.41253, -0.849545, 0.233885, -0.248539, -0.964708, 0.0869855, -0.0531479, -0.0760859, -0.995684, 0.967163, -0.25209, -0.0323619
40, -10.7465, -1.35297, 0.310352, -0.196516, -0.974482, 0.108474, -0.103549, -0.0893864, -0.9906, 0.975017, -0.205902, -0.0833406
41, -5.09182, -0.82118, -0.327137, -0.365164, -0.927203, 0.0833651, -0.0753475, -0.0598189, -0.995361, 0.927889, -0.369751, -0.0480187
42, -4.56693, -0.851514, -0.155362, -0.344492, -0.933397, 0.100477, -0.0831986, -0.076253, -0.993611, 0.935095, -0.350651, -0.0513888
43, -9.77098, -0.237556, -1.73077, -0.468703, -0.883349, -0.00348295, 0.011184, -0.00199154, -0.999935, 0.883285, -0.468711, 0.0108128
44, -9.56091, -0.522105, -1.46088, -0.445976, -0.894761, 0.0225352, 0.0135886, -0.0319435, -0.999397, 0.894942, -0.445401, 0.0264046
45, -2.50789, -0.576359, -0.487669, -0.49048, -0.871292, 0.0167211, -0.0865786, 0.0296274, -0.995804, 0.867141, -0.489869, -0.0899669
46, -3.63278, -0.773392, 0.268771, -0.354642, -0.934894, 0.0142345, -0.113392, 0.0278926, -0.993159, 0.928101, -0.35383, -0.115902
47, -0.506846, -0.435573, -1.08398, -0.565996, -0.823326, -0.0422168, -0.0111805, 0.0588698, -0.998203, 0.824332, -0.564507, -0.0425253
48, -5.10161, 0.557222, -0.815928, -0.529337, -0.820987, -0.213967, -0.131486, 0.328535, -0.935295, 0.838161, -0.466953, -0.281854
49, -7.65401, 1.36013, -1.36237, -0.478532, -0.845764, -0.235986, 0.0213903, 0.257447, -0.966056, 0.877809, -0.467337, -0.105106
50, 4.17561, -0.898774, -1.94447, -0.575518, -0.803496, -0.152228, -0.036697, 0.211332, -0.976725, 0.816965, -0.556537, -0.151112
51, 4.07871, -0.464323, -1.69674, -0.591519, -0.804579, -0.0525136, -0.131298, 0.16038, -0.978284, 0.795529, -0.571779, -0.200507
52, 4.23681, -0.498436, -1.68003, -0.600502, -0.797128, -0.0631232, -0.086017, 0.142879, -0.985995, 0.794984, -0.586662, -0.154365
